[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3986574401.16788,04/28/2026,9:46 pm
BYAPP,MPMS3,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 419, MultiVu Release 2.3.4.15,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC936,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQD012,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,TCI245,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,MnF2,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.08,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,34,35,36,37,38,39,40,41,42,43,44,45,46,47
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3986574752.34164,5.000319480896,0.555927753448486,,,6,,,,27.256665491115,,,1,,4.99643802642822,5.00206804275513,0.555927753448486,0.555927753448486,,,3.29365158081055,,1,0,0,0,0.0138092041015625,26.881721496582,1,1,1,5.00159740447998,0,4.99932535956888,,,1.78039872929393E-5,5.40276846147585E-7,1.89531628711892E-5,5.41755499505326E-7,0.66413938999176,0.992454946041107,25.9628295898438,8.70086193084717,30,4,200,0.00190736795775592,0.0169795602560043,0.325925558805466,3,,,,,,,,,,,,,,,,
,3986574834.96552,5.0018458366394,1999.70849609375,,,6,,,,27.256665491115,,,10,,4.99764156341553,5.00245332717895,1999.70849609375,1999.70849609375,,,3.29452133178711,,1,0,0,0,0.0145721435546875,26.881721496582,1,1,1,5.00198411941528,0,5.00003430422615,,,0.00486897550492956,0.000146755261999669,0.00514616993065288,0.000147107974207085,0.682671546936035,0.985919117927551,26.0426292419434,0,30,4,200,0.00149907742161304,-4.84254884719849,4.53779602050781,3,,,,,,,,,,,,,,,,
,3986574913.87777,5.00130772590637,3999.63427734375,,,6,,,,27.256665491115,,,10,,4.99737358093262,5.00284194946289,3999.63427734375,3999.63427734375,,,3.29352879524231,,1,0,0,0,0.0138092041015625,26.881721496582,1,1,1,5.00150489807129,0,5.00004592308631,,,0.00967911796444315,0.000291735869008773,0.0102299766096483,0.000292433452595449,0.682687044143677,0.985919713973999,26.0426445007324,8.76028537750244,30,4,200,0.00161823770031333,-4.41829633712769,0.814890146255493,3,,,,,,,,,,,,,,,,
,3986574992.39222,5.00175142288208,5999.5849609375,,,6,,,,27.256665491115,,,100,,4.996985912323,5.00234413146973,5999.5849609375,5999.5849609375,,,3.29556345939636,,1,0,0,0,0.0146484375,26.881721496582,1,1,1,5.00190162658691,0,4.99999554497855,,,0.0144849947356032,0.000436576214544686,0.0153091281151318,0.00043762568479898,0.682767331600189,0.985928773880005,26.0430030822754,0,30,4,200,-0.000241757967160083,-4.84193658828735,4.8161096572876,3,,,,,,,,,,,,,,,,
,3986575071.32884,5.00191140174866,7999.75244140625,,,6,,,,27.256665491115,,,100,,4.99763631820679,5.00231122970581,7999.75244140625,7999.75244140625,,,3.29547905921936,,1,0,0,0,0.0138092041015625,26.881721496582,1,1,1,5.00168180465698,0,5.00008711448083,,,0.019308981139032,0.00058197087293569,0.0204075219053799,0.000583367763789915,0.682765543460846,0.985940873622894,26.0430068969727,8.76097869873047,30,4,200,-0.000546737283002585,-0.885029494762421,0.155637606978416,3,,,,,,,,,,,,,,,,
,3986575145.78712,5.00193071365356,9999.8720703125,,,6,,,,27.256665491115,,,100,,4.9970235824585,5.00250434875488,9999.8720703125,9999.8720703125,,,3.29610657691956,,1,0,0,0,0.0138092041015625,26.3929634094238,1,1,1,5.00192403793335,0,4.99998857424809,,,0.0241530551560307,0.000727953883067937,0.0255266394818728,0.000729702245234761,0.682831287384033,0.985955715179443,26.0432586669922,0,30,4,200,-0.00110048160422593,-1.11082684993744,0.191892817616463,3,,,,,,,,,,,,,,,,
,3986575219.71683,5.00202465057373,11999.7373046875,,,6,,,,27.256665491115,,,100,,4.99740076065063,5.00264072418213,11999.7373046875,11999.7373046875,,,3.29634070396423,,1,0,0,0,0.0138092041015625,26.881721496582,1,1,1,5.00225973129272,0,4.99996781349182,,,0.0290207098970969,0.000874640639307952,0.0306704138961691,0.000876741817989004,0.6828972697258,0.985936760902405,26.0435276031494,0,30,4,200,-0.00158556550741196,-1.33403694629669,0.233107641339302,3,,,,,,,,,,,,,,,,
,3986575293.49754,5.00213146209717,13999.6640625,,,6,,,,27.256665491115,,,100,,4.99721622467041,5.00266742706299,13999.6640625,13999.6640625,,,3.29615163803101,,1,0,0,0,0.0145721435546875,26.3929634094238,1,1,1,5.00264358520508,0,5.00015373583193,,,0.0339148040200475,0.00102212258128395,0.0358417892015251,0.00102457023568971,0.682949244976044,0.985943257808685,26.0437278747559,0,30,4,200,-0.00205276231281459,-1.55874264240265,0.2668816447258,3,,,,,,,,,,,,,,,,
,3986575367.3473,5.00199627876282,15999.7216796875,,,6,,,,27.256665491115,,,100,,4.99749994277954,5.00229454040527,15999.7216796875,15999.7216796875,,,3.29513812065124,,1,0,0,0,0.0138092041015625,26.3929634094238,1,1,1,5.00169801712036,0,5.00014391312232,,,0.0388412321859333,0.00117056887611353,0.0410471629757078,0.00117337173180884,0.683015465736389,0.985946238040924,26.0439834594727,0,30,4,200,-0.00242225872352719,-1.78112733364105,0.310956656932831,3,,,,,,,,,,,,,,,,
,3986575440.99282,5.00211763381958,17999.720703125,,,6,,,,27.256665491115,,,100,,4.99745798110962,5.00255632400513,17999.720703125,17999.720703125,,,3.29614520072937,,1,0,0,0,0.0138092041015625,25.904203414917,1,1,1,5.0017352104187,0,5.00001630416283,,,0.0438044667132829,0.00132011912772017,0.046291271183985,0.00132327860387304,0.683073818683624,0.985941708087921,26.0442142486572,0,30,4,200,-0.00274105044081807,-2.00578284263611,0.347732543945313,3,,,,,,,,,,,,,,,,
