[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3986565764.88188,04/28/2026,7:22 pm
BYAPP,MPMS3,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 419, MultiVu Release 2.3.4.15,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC936,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQD012,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,TCI245,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,MnF2,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.08,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,34,35,36,37,38,39,40,41,42,43,44,45,46,47
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3986566266.3537,298.709579467773,999.606506347656,,,6,,,,28.1955947875977,,,10,,297.572631835937,299.861999511719,999.606506347656,999.606506347656,,,6.73971605300903,,1,0,0,0,0.0145721435546875,26.881721496582,2,1,1,297.557159423828,0,298.880524553571,,,0.00167199246318906,4.77923339233789E-5,0.00167200758379329,4.77923255155184E-5,0.991768598556519,0.992977261543274,28.1793651580811,5.30842399597168,30,4,200,-0.00290693459101021,-0.758550822734833,0.131252646446228,3,,,,,,,,,,,,,,,,
,3986566395.22811,287.864822387695,999.606506347656,,,6,,,,28.1412238712412,,,10,,286.689056396484,289.134216308594,999.606506347656,999.606506347656,,,6.71171951293945,,1,0,0,0,0.0145721435546875,27.3704795837402,2,1,1,286.595428466797,0,287.935066810021,,,0.00171894133009186,4.91621758433006E-5,0.00172000389848656,4.91633810061739E-5,0.965351343154907,0.996211290359497,28.010871887207,0,30,4,200,-0.000911230163183063,-0.729895055294037,0.121780760586262,3,,,,,,,,,,,,,,,,
,3986566517.27781,277.958724975586,999.606506347656,,,6,,,,28.0955358245308,,,10,,276.794006347656,279.154907226562,999.606506347656,999.606506347656,,,6.69528913497925,,1,0,0,0,0.0145721435546875,27.8592376708984,2,1,1,276.762542724609,0,277.984154334435,,,0.00175676766297246,5.02964576145994E-5,0.0017597701602547,5.02999125226539E-5,0.942713856697082,0.996968984603882,27.8788433074951,0,30,4,200,-0.000891495728865266,-0.786339104175568,0.0810080543160439,3,,,,,,,,,,,,,,,,
,3986566636.7128,267.941711425781,999.606506347656,,,6,,,,28.0493137457627,,,10,,266.770233154297,269.138488769531,999.606506347656,999.606506347656,,,6.67440032958984,,1,0,0,0,0.0145721435546875,26.881721496582,2,1,1,266.744934082031,0,267.978902963492,,,0.00180395636191143,5.17249194518563E-5,0.00180986929040706,5.17318703668954E-5,0.920853853225708,0.997212171554565,27.7495994567871,0,30,4,200,-0.00054536695824936,-0.804699122905731,0.0775739401578903,3,,,,,,,,,,,,,,,,
,3986566753.84738,257.973037719727,999.606506347656,,,6,,,,28.0050948038235,,,10,,256.774108886719,259.188201904297,999.606506347656,999.606506347656,,,6.65301704406738,,1,0,0,0,0.0145721435546875,26.3929634094238,2,1,1,256.757873535156,0,257.999985914964,,,0.00188015450752394,5.40003051298258E-5,0.00188957411824884,5.40117335393621E-5,0.902050197124481,0.991712033748627,27.6359786987305,5.0165326683782E-6,30,4,200,-0.000238805005210452,-0.793900430202484,0.120867267251015,3,,,,,,,,,,,,,,,,
,3986566874.23159,247.983978271484,999.606506347656,,,6,,,,27.9639565381416,,,10,,246.785415649414,249.215850830078,999.606506347656,999.606506347656,,,6.63302850723267,,1,0,0,0,0.0138092041015625,27.3704795837402,2,1,1,246.752105712891,0,248.009310795711,,,0.00193654576175005,5.57075341381982E-5,0.00194943518176755,5.57234019212526E-5,0.887273371219635,0.990478515625,27.539119720459,0,30,4,200,-3.25247783621307E-5,-0.868659675121307,0.174957260489464,3,,,,,,,,,,,,,,,,
,3986566994.54703,238.010467529297,999.606506347656,,,6,,,,27.9228537102586,,,10,,236.888900756836,239.132034301758,999.606506347656,999.606506347656,,,6.61212301254273,,1,0,0,0,0.0145721435546875,24.4379291534424,2,1,1,236.888900756836,0,238.090108800817,,,0.00199380046007887,5.74597511364662E-5,0.00201091724209838,5.74811618316297E-5,0.872257828712463,0.989947736263275,27.4409980773926,0,30,4,200,-2.57472202065401E-5,-0.822547316551208,0.145322144031525,3,,,,,,,,,,,,,,,,
,3986567119.03706,227.983764648438,999.606506347656,,,6,,,,27.880607087385,,,10,,226.863296508789,229.144332885742,999.606506347656,999.606506347656,,,6.58773279190063,,1,0,0,0,0.0145721435546875,26.881721496582,2,1,1,226.823196411133,0,227.980523916391,,,0.00205371522361688,5.92988446174806E-5,0.00207543051200908,5.93255117024578E-5,0.858421862125397,0.989469408988953,27.3461627960205,0,30,4,200,-0.00022856799478177,-0.884979605674744,0.114525467157364,3,,,,,,,,,,,,,,,,
,3986567239.41514,217.891983032227,999.606506347656,,,6,,,,27.8402751861835,,,10,,216.724166870117,219.10481262207,999.606506347656,999.606506347656,,,6.56110095977783,,1,0,0,0,0,26.881721496582,2,1,1,216.679153442383,0,217.91382422814,,,0.00211695384421658,6.12411013119576E-5,0.00214359262053989,6.12740788966418E-5,0.845848441123962,0.989219903945923,27.2579193115234,5.22091197967529,30,4,200,3.77396872863756E-6,-0.941893577575684,0.193993747234344,3,,,,,,,,,,,,,,,,
,3986567359.0491,207.978332519531,999.606506347656,,,6,,,,27.8016986389741,,,10,,206.776473999023,209.248321533203,999.606506347656,999.606506347656,,,6.53015756607056,,1,0,0,0,0.0138092041015625,27.3704795837402,2,1,1,206.708343505859,0,208.00700202355,,,0.00218500640344082,6.33269424671389E-5,0.00221679955181029,6.33670004436431E-5,0.834557831287384,0.988780558109283,27.1763591766357,9.11430168151855,30,4,200,0.000125916732940823,-0.996779859066009,0.176548033952713,3,,,,,,,,,,,,,,,,
